n_frames,ball_present_frac,top2_speed_cms,rest_speed_cms,speed_ratio,mean_spacing_cm,centroid_vel_cms,sync_score,mean_hull_area,reaction_lag_frames,file,label,tactical_deviation
29,0.5862068965517241,272.7,162.6,1.68,319.9,279.3,0.089,146850.0,5.0,Coordinated_Attack__videoplayback (1)_clip_002.csv,Coordinated Attack,1.8135905929533809
29,0.896551724137931,196.8,148.4,1.33,474.8,204.1,0.175,641.0,15.0,Coordinated_Attack__videoplayback (1)_clip_009.csv,Coordinated Attack,2.39988997348605
29,0.0,299.9,236.9,1.27,340.6,145.5,0.041,142387.0,,Coordinated_Attack__videoplayback (1)_clip_012.csv,Coordinated Attack,2.805824905742444
29,0.5862068965517241,359.3,133.2,2.7,363.5,113.2,0.191,10703.0,-4.0,Coordinated_Attack__videoplayback (1)_clip_016.csv,Coordinated Attack,2.9628051722013584
29,0.896551724137931,294.0,194.4,1.51,461.5,246.1,0.528,17860.0,9.0,Coordinated_Attack__videoplayback (1)_clip_023.csv,Coordinated Attack,3.3273740439612607
29,0.41379310344827586,398.3,139.2,2.86,458.6,245.5,0.217,7327.0,2.0,Coordinated_Attack__videoplayback (1)_clip_026.csv,Coordinated Attack,3.284367702975096
29,0.0,202.8,202.8,1.0,555.1,120.7,-0.169,0.0,,Coordinated_Attack__videoplayback (1)_clip_029.csv,Coordinated Attack,3.673584183778798
29,0.7931034482758621,255.4,152.9,1.67,438.6,243.1,0.352,57340.0,6.0,Coordinated_Attack__videoplayback (1)_clip_030.csv,Coordinated Attack,2.4754502005708177
29,0.896551724137931,308.3,103.4,2.98,316.9,114.6,-0.095,2373.0,0.0,Coordinated_Attack__videoplayback (1)_clip_031.csv,Coordinated Attack,3.0235448380678505
29,0.4482758620689655,87.8,87.8,1.0,154.0,73.5,0.171,0.0,21.0,Coordinated_Attack__videoplayback (1)_clip_033.csv,Coordinated Attack,3.366342418256456
29,0.6551724137931034,316.6,218.4,1.45,568.6,286.4,0.086,69843.0,-4.0,Coordinated_Attack__videoplayback (1)_clip_035.csv,Coordinated Attack,3.069111922624791
29,0.5517241379310345,251.9,128.8,1.95,417.5,148.4,0.315,61820.0,8.0,Coordinated_Attack__videoplayback (1)_clip_037.csv,Coordinated Attack,2.0488500559074407
29,0.4482758620689655,309.9,158.1,1.96,470.2,167.5,0.067,31312.0,3.0,Coordinated_Attack__videoplayback (1)_clip_038.csv,Coordinated Attack,2.0070228653417117
29,0.7586206896551724,354.0,217.2,1.63,458.2,252.9,0.066,66031.0,2.0,Coordinated_Attack__videoplayback (1)_clip_039.csv,Coordinated Attack,2.061936944420058
29,0.4827586206896552,308.1,220.6,1.4,420.6,163.9,0.14,14649.0,-15.0,Coordinated_Attack__videoplayback (1)_clip_041.csv,Coordinated Attack,2.0636986159092845
29,0.6896551724137931,334.3,145.2,2.3,483.3,194.0,0.04,35490.0,-5.0,Coordinated_Attack__videoplayback (1)_clip_043.csv,Coordinated Attack,2.3263971722715904
29,0.6551724137931034,276.2,276.2,1.0,495.5,267.0,0.678,0.0,0.0,Coordinated_Attack__videoplayback (1)_clip_048.csv,Coordinated Attack,4.804307953529462
29,0.7586206896551724,161.2,161.2,1.0,396.0,155.6,-0.056,0.0,3.0,Coordinated_Attack__videoplayback (1)_clip_049.csv,Coordinated Attack,2.443480856994486
29,0.896551724137931,262.9,191.9,1.37,431.9,224.5,0.173,102746.0,4.0,Coordinated_Attack__videoplayback (1)_clip_051.csv,Coordinated Attack,1.988061987921823
29,0.0,211.7,211.7,1.0,233.7,231.4,0.224,955.0,,Coordinated_Attack__videoplayback (1)_clip_054.csv,Coordinated Attack,2.562389455287742
29,0.4827586206896552,166.7,166.7,1.0,268.0,163.3,0.843,0.0,,Coordinated_Attack__videoplayback (1)_clip_056.csv,Coordinated Attack,5.268391078891217
29,0.5862068965517241,209.9,209.9,1.0,654.4,148.2,-0.298,0.0,,Coordinated_Attack__videoplayback (1)_clip_061.csv,Coordinated Attack,4.805976706262215
29,0.5862068965517241,356.3,235.5,1.51,416.0,246.2,0.045,18399.0,-1.0,Coordinated_Attack__videoplayback (1)_clip_063.csv,Coordinated Attack,2.151527854370145
