sequence,frame_start,frame_end,label,label_index,confidence,entropy_bits,entropy_norm,anomaly,sync_score,mean_spacing_cm,centroid_vel_cm_per_frame,var_spatial_cm2,speed_top2_cm_frame,speed_bot4_cm_frame,speed_diff_cm_frame,gate_mean_speed_cm_frame,gate_players_present,p_Spacing Breakdown,p_Delayed Support,p_Coordinated Attack,p_Coordinated Defense,p_Unclassified
1,5001,5029,Unclassified,0,1.0,0.0,0.0,False,0.4098,265.4,0.16,113457.7,0.37,0.15,0.22,0.22,6.0,,,,,
2,5030,5058,Unclassified,0,1.0,0.0,0.0,False,0.3091,265.0,0.19,113289.1,0.55,0.16,0.4,0.29,6.0,,,,,
3,5059,5087,Unclassified,0,1.0,0.0,0.0,False,0.0462,263.3,0.42,114184.7,1.62,0.32,1.3,0.76,6.0,,,,,
4,5088,5116,Coordinated Defense,2,0.4409,1.9063,0.821,True,-0.0775,251.5,1.45,114624.4,5.33,1.06,4.27,2.48,6.0,0.1737,0.2711,0.0934,0.4409,0.0209
5,5117,5145,Coordinated Defense,2,0.4426,1.9041,0.82,True,0.0402,219.2,3.41,119237.3,13.36,1.35,12.01,5.35,6.0,0.1671,0.2744,0.0945,0.4426,0.0214
6,5146,5174,Coordinated Defense,2,0.4526,1.8974,0.8172,True,0.0087,226.1,7.93,122631.1,11.12,2.63,8.49,5.49,5.93,0.155,0.2739,0.0943,0.4526,0.0242
7,5175,5203,Coordinated Defense,2,0.4489,1.8927,0.8152,True,0.1469,246.8,20.61,149433.9,48.49,4.15,44.34,19.02,5.97,0.1522,0.2804,0.0967,0.4489,0.0218
8,5204,5232,Coordinated Defense,2,0.4358,1.924,0.8286,True,-0.0037,198.4,9.6,79489.9,37.25,3.21,34.04,14.56,6.0,0.1667,0.2755,0.0975,0.4358,0.0245
9,5233,5261,Coordinated Defense,2,0.4291,1.9367,0.8341,True,0.1063,201.3,3.14,97226.1,10.32,2.09,8.23,4.84,6.0,0.1823,0.2683,0.0954,0.4291,0.0249
10,5262,5290,Coordinated Defense,2,0.4374,1.9152,0.8248,True,-0.0453,171.6,4.0,100222.4,17.39,4.15,13.24,8.56,6.0,0.17,0.2747,0.0953,0.4374,0.0226
11,5291,5319,Coordinated Defense,2,0.4227,1.8913,0.8145,True,0.2571,162.6,4.41,77438.3,13.18,3.99,9.2,7.05,6.0,0.1511,0.3039,0.1088,0.4227,0.0135
12,5320,5348,Delayed Support,3,0.3544,1.9588,0.8436,True,0.0494,123.0,4.15,62090.7,10.69,2.25,8.44,5.45,5.45,0.1288,0.3544,0.2034,0.305,0.0084
13,5349,5377,Coordinated Defense,2,0.3931,1.9125,0.8237,True,-0.0354,141.8,3.31,61876.8,9.68,2.08,7.6,4.66,5.93,0.1447,0.3226,0.1284,0.3931,0.0112
14,5378,5406,Coordinated Defense,2,0.4229,1.9376,0.8345,True,-0.0103,164.5,6.11,74389.0,11.14,2.18,8.97,5.26,5.86,0.1904,0.2688,0.0951,0.4229,0.0229
15,5407,5435,Coordinated Defense,2,0.4169,1.9457,0.838,True,-0.0631,154.7,2.96,71868.4,10.53,2.55,7.99,5.21,6.0,0.1869,0.2745,0.0985,0.4169,0.0232
16,5436,5464,Coordinated Defense,2,0.4186,1.8959,0.8165,True,-0.0168,162.6,4.34,60630.6,23.8,2.87,20.93,9.84,6.0,0.1606,0.3014,0.1068,0.4186,0.0127
17,5465,5493,Coordinated Defense,2,0.4293,1.9304,0.8314,True,-0.0574,194.4,3.2,67909.4,13.16,2.09,11.07,5.78,6.0,0.1591,0.2836,0.1037,0.4293,0.0242
18,5494,5522,Coordinated Defense,2,0.4096,1.9049,0.8204,True,0.0402,235.8,3.81,96274.9,13.37,1.6,11.77,5.52,6.0,0.1779,0.2972,0.1036,0.4096,0.0117
19,5523,5551,Coordinated Defense,2,0.4289,1.8935,0.8155,True,-0.0505,222.3,3.34,113341.9,12.95,3.14,9.81,6.41,6.0,0.1709,0.288,0.0975,0.4289,0.0147
20,5552,5580,Coordinated Defense,2,0.4381,1.876,0.808,True,0.0009,152.1,2.53,114227.5,12.08,2.6,9.48,5.76,6.0,0.152,0.2952,0.1,0.4381,0.0147
21,5581,5609,Coordinated Defense,2,0.4386,1.8789,0.8092,True,0.1073,156.6,8.52,130656.4,14.3,1.79,12.51,6.18,5.72,0.1496,0.2951,0.1013,0.4386,0.0155
22,5610,5638,Coordinated Defense,2,0.4268,1.8649,0.8032,True,0.079,160.0,5.73,117875.4,5.67,1.41,4.26,2.86,5.93,0.1298,0.3164,0.1158,0.4268,0.0113
23,5639,5667,Coordinated Defense,2,0.3619,1.9121,0.8235,True,0.1944,144.8,5.96,67431.5,18.65,3.43,15.23,8.5,6.0,0.1255,0.3464,0.1583,0.3619,0.0078
24,5668,5696,Delayed Support,3,0.348,1.9842,0.8546,True,-0.005,107.7,2.22,42293.8,8.67,2.49,6.17,4.55,6.0,0.127,0.348,0.2531,0.2615,0.0104
25,5697,5725,Delayed Support,3,0.3395,1.9937,0.8586,True,0.0419,135.8,6.26,46448.9,9.25,1.92,7.33,4.59,5.48,0.1408,0.3395,0.203,0.3046,0.0121
26,5726,5754,Coordinated Defense,2,0.4325,1.894,0.8157,True,0.1069,131.6,4.31,52743.3,14.29,1.47,12.82,5.75,6.0,0.1463,0.2974,0.1066,0.4325,0.0172
27,5755,5783,Coordinated Defense,2,0.4108,1.9131,0.8239,True,0.0282,150.1,2.06,58110.1,6.75,1.31,5.44,3.12,6.0,0.1504,0.3063,0.1182,0.4108,0.0143
28,5784,5812,Coordinated Defense,2,0.4282,1.9007,0.8186,True,-0.0018,145.5,1.63,60859.2,5.67,1.15,4.51,2.66,6.0,0.1763,0.2835,0.0961,0.4282,0.0159
29,5813,5841,Delayed Support,3,0.3483,1.9608,0.8445,True,0.004,155.2,0.97,65731.3,3.69,1.26,2.43,2.07,6.0,0.0996,0.3483,0.2412,0.2974,0.0136
30,5842,5870,Delayed Support,3,0.3224,2.041,0.879,True,0.1068,165.6,4.92,62874.5,16.14,3.35,12.79,7.61,6.0,0.1289,0.3224,0.2689,0.2582,0.0216
31,5871,5899,Unclassified,0,1.0,0.0,0.0,False,0.2302,173.1,0.86,63334.1,3.07,0.81,2.25,1.56,6.0,,,,,
32,5900,5928,Unclassified,0,1.0,0.0,0.0,False,0.2614,173.4,0.73,63631.6,2.18,0.76,1.42,1.23,6.0,,,,,
33,5929,5957,Unclassified,0,1.0,0.0,0.0,False,0.2272,179.4,0.7,68212.4,1.91,0.73,1.18,1.12,6.0,,,,,
34,5958,5986,Unclassified,0,1.0,0.0,0.0,False,0.3326,181.4,1.04,70219.0,2.97,0.71,2.26,1.47,6.0,,,,,
35,5987,6015,Delayed Support,3,0.3414,1.9575,0.8431,True,0.2064,196.2,4.45,73482.6,10.66,1.15,9.52,4.35,5.93,0.0966,0.3414,0.3034,0.2453,0.0134
36,6016,6044,Delayed Support,3,0.3396,2.0009,0.8618,True,-0.0153,166.5,7.75,53734.6,15.21,2.37,12.84,7.21,5.34,0.1352,0.3396,0.2435,0.27,0.0117
37,6045,6073,Coordinated Attack,1,0.3576,1.9618,0.8449,True,-0.0263,165.0,9.89,48376.9,15.91,2.56,13.35,7.47,5.48,0.1156,0.3211,0.3576,0.1911,0.0146
38,6074,6102,Coordinated Defense,2,0.3526,1.9259,0.8294,True,-0.0712,171.1,2.38,47786.1,9.38,2.1,7.27,4.53,6.0,0.121,0.3448,0.1729,0.3526,0.0087
39,6103,6131,Coordinated Defense,2,0.4113,1.8908,0.8143,True,-0.0549,181.6,1.96,55378.7,7.73,1.49,6.23,3.57,6.0,0.1403,0.3171,0.1198,0.4113,0.0115
40,6132,6160,Coordinated Defense,2,0.4333,1.8847,0.8117,True,0.0195,190.0,2.91,76357.8,11.35,2.01,9.34,5.12,6.0,0.1567,0.2941,0.1014,0.4333,0.0146
