video_file,anchor_time,tactic_class
videoplayback (3).mp4,00:00:03.000,Coordinated_Defence
videoplayback (3).mp4,00:00:05.000,Coordinated_Attack
videoplayback (3).mp4,00:00:25.000,Coordinated_Attack
videoplayback (3).mp4,00:00:38.000,Coordinated_Defence
videoplayback (3).mp4,00:00:50.000,Delayed_Support
videoplayback (3).mp4,00:01:12.000,Coordinated_Defence
videoplayback (3).mp4,00:01:18.000,Coordinated_Defence
videoplayback (3).mp4,00:01:21.000,Coordinated_Attack
videoplayback (3).mp4,00:01:31.000,Coordinated_Defence
videoplayback (3).mp4,00:01:32.000,Coordinated_Defence
videoplayback (3).mp4,00:01:33.000,Coordinated_Attack
videoplayback (3).mp4,00:01:43.000,Coordinated_Defence
videoplayback (3).mp4,00:01:45.000,Coordinated_Defence
videoplayback (3).mp4,00:01:46.000,Coordinated_Attack
videoplayback (3).mp4,00:01:48.000,Coordinated_Defence
videoplayback (3).mp4,00:01:50.000,Coordinated_Defence
videoplayback (3).mp4,00:01:51.000,Coordinated_Attack
videoplayback (3).mp4,00:02:03.000,Coordinated_Defence
videoplayback (3).mp4,00:02:07.000,Coordinated_Defence
videoplayback (3).mp4,00:02:10.000,Coordinated_Defence
videoplayback (3).mp4,00:02:12.000,Coordinated_Attack
videoplayback (3).mp4,00:02:16.000,Coordinated_Defence
videoplayback (3).mp4,00:02:24.000,Coordinated_Defence
videoplayback (3).mp4,00:02:25.000,Coordinated_Defence
videoplayback (3).mp4,00:02:26.000,Coordinated_Attack
videoplayback (3).mp4,00:02:43.000,Coordinated_Defence
videoplayback (3).mp4,00:02:45.000,Coordinated_Defence
videoplayback (3).mp4,00:02:46.000,Coordinated_Attack
videoplayback (3).mp4,00:02:58.000,Delayed_Support
videoplayback (3).mp4,00:03:06.000,Coordinated_Defence
videoplayback (3).mp4,00:03:07.000,Coordinated_Defence
videoplayback (3).mp4,00:03:08.000,Coordinated_Attack
videoplayback (3).mp4,00:03:26.000,Coordinated_Defence
videoplayback (3).mp4,00:03:27.000,Coordinated_Defence
videoplayback (3).mp4,00:03:28.000,Coordinated_Attack
videoplayback (3).mp4,00:03:41.000,Coordinated_Defence
videoplayback (3).mp4,00:03:43.000,Coordinated_Defence
videoplayback (3).mp4,00:03:45.000,Coordinated_Attack
videoplayback (3).mp4,00:03:48.000,Coordinated_Defence
videoplayback (3).mp4,00:03:50.000,Coordinated_Defence
videoplayback (3).mp4,00:03:51.000,Coordinated_Defence
videoplayback (3).mp4,00:03:52.000,Coordinated_Attack
videoplayback (3).mp4,00:04:13.000,Delayed_Support
videoplayback (3).mp4,00:04:32.000,Coordinated_Defence
videoplayback (3).mp4,00:04:43.000,Coordinated_Defence
videoplayback (3).mp4,00:04:44.000,Coordinated_Defence
videoplayback (3).mp4,00:04:45.000,Coordinated_Attack
videoplayback (3).mp4,00:04:47.000,Coordinated_Defence
videoplayback (3).mp4,00:04:48.000,Coordinated_Defence
videoplayback (3).mp4,00:04:49.000,Coordinated_Attack
videoplayback (3).mp4,00:04:52.000,Coordinated_Defence
