n_attacker,attacker_vmax,n_setter,setter_vmax,n_libero,libero_vmax,n_defender,defender_vmax,attacker_approach_cms,libero_lateral_cms,setter_displacement_cm,n_unknown,clip,target_label
3,576.2,0,,1,494.6,0,,290.0,493.9,,2,Coordinated_Attack__videoplayback (1)_clip_002.csv,Coordinated Attack
2,387.4,0,,0,,0,,315.4,,,4,Coordinated_Attack__videoplayback (1)_clip_009.csv,Coordinated Attack
2,479.3,0,,1,527.6,0,,371.4,502.4,,3,Coordinated_Attack__videoplayback (1)_clip_012.csv,Coordinated Attack
3,632.6,0,,0,,0,,321.2,,,3,Coordinated_Attack__videoplayback (1)_clip_016.csv,Coordinated Attack
3,641.5,0,,0,,0,,328.5,,,3,Coordinated_Attack__videoplayback (1)_clip_023.csv,Coordinated Attack
1,760.0,1,222.4,0,,0,,431.5,,102.6,4,Coordinated_Attack__videoplayback (1)_clip_026.csv,Coordinated Attack
2,379.3,0,,0,,0,,140.9,,,4,Coordinated_Attack__videoplayback (1)_clip_029.csv,Coordinated Attack
3,552.1,1,258.2,0,,0,,412.7,,54.1,2,Coordinated_Attack__videoplayback (1)_clip_030.csv,Coordinated Attack
1,192.5,0,,0,,0,,142.6,,,5,Coordinated_Attack__videoplayback (1)_clip_031.csv,Coordinated Attack
1,290.8,0,,0,,0,,92.0,,,5,Coordinated_Attack__videoplayback (1)_clip_033.csv,Coordinated Attack
2,494.4,0,,1,325.2,0,,300.5,290.5,,3,Coordinated_Attack__videoplayback (1)_clip_035.csv,Coordinated Attack
3,484.3,0,,0,,0,,398.8,,,3,Coordinated_Attack__videoplayback (1)_clip_037.csv,Coordinated Attack
2,511.6,0,,0,,0,,341.1,,,4,Coordinated_Attack__videoplayback (1)_clip_038.csv,Coordinated Attack
4,609.3,0,,0,,0,,422.6,,,2,Coordinated_Attack__videoplayback (1)_clip_039.csv,Coordinated Attack
3,616.1,0,,0,,0,,496.3,,,3,Coordinated_Attack__videoplayback (1)_clip_041.csv,Coordinated Attack
3,613.9,0,,0,,0,,382.7,,,3,Coordinated_Attack__videoplayback (1)_clip_043.csv,Coordinated Attack
1,544.0,0,,0,,0,,393.2,,,5,Coordinated_Attack__videoplayback (1)_clip_048.csv,Coordinated Attack
1,327.2,0,,0,,0,,93.4,,,5,Coordinated_Attack__videoplayback (1)_clip_049.csv,Coordinated Attack
3,542.5,0,,1,467.6,0,,462.7,432.9,,2,Coordinated_Attack__videoplayback (1)_clip_051.csv,Coordinated Attack
1,620.7,1,265.9,0,,0,,394.5,,76.7,4,Coordinated_Attack__videoplayback (1)_clip_054.csv,Coordinated Attack
1,414.8,0,,0,,0,,131.3,,,5,Coordinated_Attack__videoplayback (1)_clip_056.csv,Coordinated Attack
1,465.1,1,246.7,0,,0,,307.6,,118.6,4,Coordinated_Attack__videoplayback (1)_clip_061.csv,Coordinated Attack
3,676.8,0,,0,,0,,368.4,,,3,Coordinated_Attack__videoplayback (1)_clip_063.csv,Coordinated Attack
1,441.1,0,,0,,0,,153.2,,,5,Coordinated_Attack__videoplayback (1)_clip_065.csv,Coordinated Attack
1,265.5,0,,0,,0,,87.8,,,5,Coordinated_Attack__videoplayback (1)_clip_068.csv,Coordinated Attack
4,724.1,1,289.7,0,,0,,643.3,,98.3,1,Coordinated_Attack__videoplayback (1)_clip_072.csv,Coordinated Attack
4,693.0,0,,0,,0,,590.3,,,2,Coordinated_Attack__videoplayback (1)_clip_078.csv,Coordinated Attack
3,616.9,0,,0,,0,,351.6,,,3,Coordinated_Attack__videoplayback (1)_clip_079.csv,Coordinated Attack
1,440.2,0,,0,,0,,126.6,,,5,Coordinated_Attack__videoplayback (1)_clip_084.csv,Coordinated Attack
3,689.0,0,,0,,0,,252.6,,,3,Coordinated_Attack__videoplayback (1)_clip_086.csv,Coordinated Attack
1,762.8,0,,0,,0,,208.3,,,5,Coordinated_Attack__videoplayback (1)_clip_091.csv,Coordinated Attack
2,398.3,0,,0,,0,,213.5,,,4,Coordinated_Attack__videoplayback (1)_clip_097.csv,Coordinated Attack
3,620.3,0,,0,,0,,490.0,,,3,Coordinated_Attack__videoplayback (1)_clip_104.csv,Coordinated Attack
1,420.6,1,272.4,0,,0,,372.1,,105.2,4,Coordinated_Attack__videoplayback (1)_clip_109.csv,Coordinated Attack
3,697.1,0,,0,,0,,301.8,,,3,Coordinated_Attack__videoplayback (1)_clip_111.csv,Coordinated Attack
2,750.4,0,,0,,0,,197.8,,,4,Coordinated_Attack__videoplayback (1)_clip_112.csv,Coordinated Attack
2,494.2,0,,0,,0,,292.7,,,4,Coordinated_Attack__videoplayback (1)_clip_116.csv,Coordinated Attack
4,519.8,0,,0,,0,,365.8,,,2,Coordinated_Attack__videoplayback (1)_clip_119.csv,Coordinated Attack
3,320.5,0,,0,,0,,148.1,,,3,Coordinated_Attack__videoplayback (1)_clip_121.csv,Coordinated Attack
2,503.9,0,,0,,0,,358.8,,,4,Coordinated_Attack__videoplayback (1)_clip_125.csv,Coordinated Attack
3,548.5,1,156.9,0,,1,258.2,493.4,,72.8,1,Coordinated_Attack__videoplayback (3)_clip_002.csv,Coordinated Attack
4,741.3,0,,0,,0,,311.0,,,2,Coordinated_Attack__videoplayback (3)_clip_003.csv,Coordinated Attack
5,607.0,1,113.2,0,,0,,253.7,,43.9,0,Coordinated_Attack__videoplayback (3)_clip_008.csv,Coordinated Attack
3,563.2,1,356.9,0,,0,,445.7,,82.1,2,Coordinated_Attack__videoplayback (3)_clip_011.csv,Coordinated Attack
2,618.3,1,482.3,0,,0,,401.1,,114.2,3,Coordinated_Attack__videoplayback (3)_clip_014.csv,Coordinated Attack
4,504.0,1,177.6,0,,0,,252.3,,60.3,1,Coordinated_Attack__videoplayback (3)_clip_017.csv,Coordinated Attack
4,493.5,0,,0,,0,,216.1,,,2,Coordinated_Attack__videoplayback (3)_clip_021.csv,Coordinated Attack
4,544.8,1,124.5,0,,0,,329.7,,60.8,1,Coordinated_Attack__videoplayback (3)_clip_025.csv,Coordinated Attack
3,685.5,1,137.9,0,,0,,496.6,,68.6,2,Coordinated_Attack__videoplayback (3)_clip_028.csv,Coordinated Attack
2,580.7,1,143.5,0,,2,123.1,338.1,,66.9,1,Coordinated_Attack__videoplayback (3)_clip_032.csv,Coordinated Attack
5,542.8,1,114.3,0,,0,,175.5,,33.8,0,Coordinated_Attack__videoplayback (3)_clip_035.csv,Coordinated Attack
4,748.2,1,158.6,0,,0,,310.9,,56.7,1,Coordinated_Attack__videoplayback (3)_clip_038.csv,Coordinated Attack
5,655.5,1,543.7,0,,0,,316.4,,59.3,0,Coordinated_Attack__videoplayback (3)_clip_042.csv,Coordinated Attack
1,697.5,1,223.1,0,,0,,563.5,,109.3,4,Coordinated_Attack__videoplayback (3)_clip_047.csv,Coordinated Attack
5,675.7,1,247.7,0,,0,,288.7,,90.2,0,Coordinated_Attack__videoplayback (3)_clip_050.csv,Coordinated Attack
4,527.2,0,,0,,1,284.2,514.1,,,1,Coordinated_Attack__videoplayback (3)_clip_053.csv,Coordinated Attack
3,503.1,1,437.3,1,615.4,0,,329.1,560.0,145.1,1,Coordinated_Attack__videoplayback (3)_clip_057.csv,Coordinated Attack
