frame_id,ball_x,ball_y,p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,p4_x,p4_y,p5_x,p5_y,p6_x,p6_y,target_label
1,0.0,0.0,1075.5784,571.5351,152.25449,555.24445,1754.4155,625.5518,1129.402,484.67615,0.0,0.0,0.0,0.0,Coordinated Attack
2,0.0,0.0,149.4529,554.4858,1752.4052,625.39246,1070.1537,567.6104,0.0,0.0,0.0,0.0,0.0,0.0,Coordinated Attack
3,0.0,0.0,150.36456,552.83295,1057.4998,564.61804,1752.0004,624.2468,0.0,0.0,0.0,0.0,0.0,0.0,Coordinated Attack
4,0.0,0.0,152.86195,551.52277,1048.6383,564.69196,1750.289,624.656,0.0,0.0,0.0,0.0,0.0,0.0,Coordinated Attack
5,0.0,0.0,154.98079,551.30194,1048.5306,564.68475,1748.8429,622.6659,0.0,0.0,0.0,0.0,0.0,0.0,Coordinated Attack
6,0.0,0.0,159.66283,546.5944,1745.3994,618.4128,1025.9672,565.6331,0.0,0.0,0.0,0.0,0.0,0.0,Coordinated Attack
7,0.0,0.0,1016.5192,565.6486,1742.6654,617.41534,168.67386,541.6838,708.4774,691.483,0.0,0.0,0.0,0.0,Coordinated Attack
8,1117.0975,235.4523,1006.22644,562.5661,166.7033,536.6467,1740.6028,614.14545,710.5331,684.9712,0.0,0.0,0.0,0.0,Coordinated Attack
9,1117.0975,235.4523,1001.32166,560.2093,1737.9736,610.7218,177.14699,529.04034,712.16455,681.04767,0.0,0.0,0.0,0.0,Coordinated Attack
10,1117.0975,235.4523,1729.6072,603.0532,188.42708,516.4061,1001.13153,553.40564,709.74567,675.6827,0.0,0.0,0.0,0.0,Coordinated Attack
11,1117.0975,235.4523,1724.3207,587.6239,991.7896,552.67847,201.94656,509.47467,705.8477,670.88947,0.0,0.0,0.0,0.0,Coordinated Attack
12,1061.8672,217.26486,1715.508,575.91516,965.20276,545.5051,206.20645,508.6166,704.8936,666.6359,0.0,0.0,0.0,0.0,Coordinated Attack
13,1031.4906,207.26176,1709.0758,572.7246,951.0698,538.41846,191.94937,509.49686,706.18585,663.06775,0.0,0.0,0.0,0.0,Coordinated Attack
14,1001.1139,197.25867,1706.7139,572.1361,195.12328,510.03503,932.9862,535.9254,709.78204,657.79645,0.0,0.0,0.0,0.0,Coordinated Attack
15,977.95776,155.67914,199.19797,501.8421,915.60297,531.35077,1695.8184,571.4632,713.4053,655.1646,0.0,0.0,0.0,0.0,Coordinated Attack
16,951.5524,128.30899,204.05777,500.3539,906.00903,526.1336,718.0237,651.84546,0.0,0.0,0.0,0.0,0.0,0.0,Coordinated Attack
17,925.1471,100.93885,898.5786,524.39496,217.31644,501.97473,1693.2747,563.9493,722.6722,650.3563,0.0,0.0,0.0,0.0,Coordinated Attack
18,898.7417,73.56871,232.01666,500.48056,885.7765,521.40607,1666.1539,558.8141,726.26855,648.49255,0.0,0.0,0.0,0.0,Coordinated Attack
19,870.0897,94.45316,242.48604,492.00156,871.01514,510.94,1660.6295,550.2319,728.3038,647.0524,0.0,0.0,0.0,0.0,Coordinated Attack
20,842.4487,93.62305,261.0938,483.66367,857.73694,506.7286,1652.5795,535.55084,728.00354,648.1131,0.0,0.0,0.0,0.0,Coordinated Attack
21,820.28186,75.790115,838.463,500.04108,1641.215,524.5145,728.51245,644.7655,0.0,0.0,0.0,0.0,0.0,0.0,Coordinated Attack
22,795.6516,65.60846,824.26025,497.10156,1598.142,522.86847,728.9773,643.8912,1160.6125,495.3303,0.0,0.0,0.0,0.0,Coordinated Attack
23,771.02136,55.426792,819.37836,493.82376,1594.2512,522.2179,737.7946,642.67664,1160.0538,507.89886,0.0,0.0,0.0,0.0,Coordinated Attack
24,746.3911,45.245132,808.5443,495.98627,1584.6628,520.05,736.1721,640.3094,1162.2034,513.31146,0.0,0.0,0.0,0.0,Coordinated Attack
25,721.76086,35.06347,789.3116,492.77347,1567.6941,511.6414,742.4123,632.4554,1167.4069,517.8606,0.0,0.0,0.0,0.0,Coordinated Attack
26,697.1306,24.881805,1554.8257,506.7689,749.643,627.78534,1171.9252,521.2549,0.0,0.0,0.0,0.0,0.0,0.0,Coordinated Attack
27,672.50037,14.700142,1542.314,508.9733,743.23083,612.51666,1175.1417,520.10114,0.0,0.0,0.0,0.0,0.0,0.0,Coordinated Attack
28,647.8702,4.5184793,1497.2256,482.21634,747.86957,618.8682,1184.7025,521.0152,0.0,0.0,0.0,0.0,0.0,0.0,Coordinated Attack
29,623.2399,-5.663183,1505.446,487.84705,750.25665,616.18866,1195.7863,524.6855,0.0,0.0,0.0,0.0,0.0,0.0,Coordinated Attack
