frame_id,ball_x,ball_y,p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,p4_x,p4_y,p5_x,p5_y,p6_x,p6_y,target_label
1,673.6411,521.9362,529.0338,658.3339,1337.7166,654.0462,1504.8224,590.1935,896.593,696.3968,196.8194,594.31604,740.63916,567.043,Coordinated Defense
2,674.3352,521.7406,1338.4832,652.59296,529.3978,657.532,898.91394,697.2925,1503.7496,588.63245,198.34148,596.2216,741.7391,568.80444,Coordinated Defense
3,674.717,521.63306,528.8784,657.10925,1338.5829,649.8876,897.1221,698.6537,195.79765,594.6928,1503.6743,587.9629,741.94885,568.00635,Coordinated Defense
4,675.0987,521.52545,528.9772,655.92456,1337.6392,647.9319,894.4493,698.968,194.43861,593.44366,1498.0087,585.547,740.79755,566.9373,Coordinated Defense
5,675.48047,521.41785,1337.8665,645.4274,529.01056,655.62537,892.64923,700.76447,1490.1324,584.804,190.94353,593.9612,739.1037,562.06165,Coordinated Defense
6,675.8622,521.31024,528.59436,654.4446,1338.8683,642.4335,890.51935,701.64984,1479.9658,581.27594,186.55037,593.5388,737.4034,562.9973,Coordinated Defense
7,841.2563,437.4018,528.70624,652.84344,1345.143,640.9737,736.1975,562.6663,182.30211,592.2496,888.0256,701.9933,1468.5524,580.7797,Coordinated Defense
8,826.17,461.5915,529.4236,651.8686,1354.4437,640.8055,883.4775,702.9656,179.82622,592.4264,1463.9944,578.0539,755.7624,557.40955,Coordinated Defense
9,858.8849,454.1067,529.84344,650.2886,1363.6537,642.4769,181.25494,596.2468,877.0212,705.29395,745.4097,559.15826,1452.6427,573.3148,Coordinated Defense
10,891.59973,446.6219,529.6128,647.46063,1368.6642,644.27716,178.478,596.2236,868.50476,705.56714,739.53375,560.12213,973.606,491.9225,Coordinated Defense
11,924.31464,439.13712,529.18506,645.1683,732.2365,559.2519,177.53354,595.94086,1374.4867,643.90027,863.7092,710.0342,972.646,491.66736,Coordinated Defense
12,443.57483,753.16907,527.18823,643.70337,176.53961,597.26306,726.42084,561.9801,857.2553,709.5644,1382.044,644.45984,971.10944,488.45935,Coordinated Defense
13,668.72235,517.3238,521.37384,641.33167,177.9408,598.3473,853.22723,710.4573,726.37195,559.8055,1384.0239,644.95374,977.0749,490.31967,Coordinated Defense
14,668.52747,517.6372,517.2702,640.7002,178.1604,598.12805,1382.2772,610.39966,728.2794,560.0314,973.876,489.7768,832.4875,712.3746,Coordinated Defense
15,443.71014,753.0658,510.09366,640.79834,179.42798,598.3197,1381.9569,608.26404,840.1566,713.8264,974.64246,490.29092,727.42725,559.3175,Coordinated Defense
16,443.42175,756.19965,501.5455,638.0882,1385.0997,607.45856,179.90082,597.0199,829.2948,716.7201,727.44684,560.9338,972.11536,490.85464,Coordinated Defense
17,388.64462,811.3508,494.76828,637.2947,1387.4904,606.93195,180.52298,595.7885,823.816,715.7764,727.01996,562.5902,973.57935,491.0851,Coordinated Defense
18,333.8675,866.5021,487.07666,637.2061,180.74576,597.31006,1386.435,635.40204,972.15906,491.3718,816.82764,717.36053,730.41846,525.78827,Coordinated Defense
19,642.01483,514.22253,477.02582,637.963,816.5386,723.0069,182.0283,597.4704,1385.7015,641.6232,962.6396,491.5943,0.0,0.0,Coordinated Defense
20,418.31998,757.21606,466.31506,636.88904,801.7073,726.9049,1386.2517,641.42865,183.09975,595.5038,966.4697,491.8616,716.37573,592.43945,Coordinated Defense
21,360.4619,814.8415,458.64297,637.09485,1384.9553,639.09515,796.54333,731.9008,187.07167,595.31256,960.31213,491.06177,714.81696,589.3875,Coordinated Defense
22,302.60385,872.46686,450.6232,636.8952,1385.6077,640.5524,188.11945,595.98016,959.9069,491.406,783.3291,736.4031,707.886,592.25604,Coordinated Defense
23,377.45648,755.58307,440.2606,637.41046,1386.4612,608.8235,186.66612,596.29425,958.6436,491.44934,782.74255,738.4669,707.77716,585.9367,Coordinated Defense
24,367.71082,755.7948,435.09012,637.93256,1395.2495,637.0477,774.8072,738.62445,187.75125,596.1644,709.28143,583.4949,0.0,0.0,Coordinated Defense
25,369.16043,738.6516,429.59778,640.8615,186.4932,596.85394,762.14484,741.02356,1405.7867,635.45074,709.2339,582.31274,1352.939,547.3757,Coordinated Defense
26,798.05975,470.19858,427.08078,643.5008,187.49026,596.6005,1418.403,634.6399,762.8365,741.0237,711.4785,579.7316,1344.2214,547.8228,Coordinated Defense
27,1034.6067,314.83496,426.22284,644.85785,188.28091,596.21277,1430.903,634.5047,755.3437,743.75867,710.24713,586.37177,953.3721,487.4202,Coordinated Defense
28,815.71375,435.07248,425.9821,647.4613,1445.122,635.08075,185.03795,596.6136,751.31537,751.4213,708.4921,557.60297,948.07794,485.192,Coordinated Defense
29,820.03265,419.92676,424.86472,650.6117,191.15529,596.0263,1454.7158,632.7296,744.853,752.16986,701.3048,594.62164,945.3111,488.48944,Coordinated Defense
