frame_id,ball_x,ball_y,p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,p4_x,p4_y,p5_x,p5_y,p6_x,p6_y,target_label
1,1176.9159,617.01904,879.96173,639.03986,432.1819,614.0347,668.2016,523.4386,1308.7432,601.1767,43.932487,610.7002,1423.346,481.50854,Delayed Support
2,1183.2412,616.9942,879.94446,639.1736,438.51086,614.6274,1322.0704,601.24475,43.663372,610.1587,661.9106,530.0441,1249.1324,504.5307,Delayed Support
3,1046.4341,527.8243,881.18146,638.7946,437.18793,614.55554,44.18686,609.24457,1332.1741,601.62506,661.84216,522.7399,0.0,0.0,Delayed Support
4,972.75555,478.7747,879.54156,636.46136,447.18964,614.5471,44.77213,609.6591,658.6241,521.7191,1353.0089,600.08276,0.0,0.0,Delayed Support
5,1065.0037,534.36896,876.605,637.5758,448.80124,615.62134,44.74619,609.77484,656.5872,524.5475,1353.8757,599.22565,1262.8318,505.1273,Delayed Support
6,1071.7445,536.01306,455.1143,616.13446,871.4362,638.41986,44.39573,609.47345,1358.2748,598.8483,653.96185,523.19165,1275.2673,508.83945,Delayed Support
7,1079.3638,539.0751,868.3518,639.12366,467.26126,617.8972,43.565678,610.05457,1366.6053,600.0161,652.48206,524.4458,1285.0314,508.3353,Delayed Support
8,1088.783,542.88824,864.5413,637.8001,466.036,616.98364,43.921707,610.43243,650.1782,506.281,1391.2386,602.416,1293.4753,508.26712,Delayed Support
9,1098.2021,546.7014,855.1206,638.9698,468.29855,616.7026,44.247738,610.37506,646.13,532.1983,1396.0941,604.8341,1296.81,508.1196,Delayed Support
10,974.8485,544.55457,467.83493,615.3941,849.2423,640.84454,44.340366,609.75165,1401.062,605.3398,650.4988,502.92868,1299.8652,509.99033,Delayed Support
11,911.24255,545.0898,841.35693,641.4865,471.6985,613.88806,44.131313,610.0604,1402.735,607.53656,649.5663,511.04156,1329.8494,503.81934,Delayed Support
12,847.63666,545.62494,837.8779,642.3944,477.52536,614.10754,44.673504,610.0768,1413.6361,609.2373,652.3157,510.3679,1330.1642,503.3906,Delayed Support
13,784.03076,546.16016,831.4258,645.3049,481.9928,614.15283,1425.6768,609.93835,45.188633,610.0713,647.1834,525.61786,1335.8464,506.40134,Delayed Support
14,720.42487,546.6953,823.099,644.4124,484.3468,612.9917,1436.0236,611.2627,44.516144,609.97797,649.7578,528.59393,1338.3955,504.0588,Delayed Support
15,656.819,547.23047,816.7645,646.7097,486.11395,611.7854,1447.77,612.623,44.021683,609.7554,640.6952,526.8596,1336.8041,502.3519,Delayed Support
16,593.2131,547.7657,807.7963,645.99536,1455.8445,614.2353,496.44632,608.8232,43.822094,610.2212,642.51526,525.6657,0.0,0.0,Delayed Support
17,1365.6208,614.4333,802.8467,646.54297,1471.9915,616.65924,492.79947,611.41144,645.65247,526.75024,43.81394,610.84814,1337.9607,492.68848,Delayed Support
18,1761.8225,651.3413,795.3892,646.24945,1478.4076,619.6832,493.23007,608.68976,44.31253,611.10333,642.8931,525.20123,376.15668,497.31796,Delayed Support
19,2158.0242,688.2493,793.7452,646.11346,495.86826,607.5384,1486.9888,622.2455,640.27484,525.2827,44.120476,610.7733,0.0,0.0,Delayed Support
20,2554.2258,725.15735,793.2651,644.86053,500.93726,606.3545,1486.9412,624.0167,44.289616,609.75385,639.51324,527.0736,386.46417,484.50958,Delayed Support
21,1119.0612,560.8849,791.9286,644.1747,1488.3512,625.25806,44.521717,609.6307,514.65796,602.6188,637.03204,528.12244,388.88983,489.72565,Delayed Support
22,1118.0632,559.7946,791.9831,642.7783,1489.4038,625.97235,44.671867,609.7931,523.752,602.4255,627.78937,530.1108,390.47168,490.4968,Delayed Support
23,1118.6562,561.469,789.0708,642.59894,1486.8574,626.5319,44.693485,609.64124,531.81647,600.65027,394.60333,483.43774,891.16064,495.84235,Delayed Support
24,994.9979,547.1875,1491.1052,624.7497,784.74347,642.92334,44.862263,610.01984,536.016,596.6678,886.04626,494.58325,0.0,0.0,Delayed Support
25,1371.237,144.47589,781.251,642.769,1491.3777,626.8707,547.36017,578.81934,44.78151,609.74475,881.3451,499.52542,0.0,0.0,Delayed Support
26,1381.4207,154.85156,779.9232,642.6114,1492.8484,626.5042,44.78273,609.9649,548.3224,576.5555,873.0555,502.01736,0.0,0.0,Delayed Support
27,1112.2505,560.8782,777.8569,644.1159,1492.9166,626.09204,45.744507,609.83887,541.4193,595.5301,613.6888,572.53296,873.70685,504.963,Delayed Support
28,997.3626,740.60736,772.36346,644.12524,1498.1201,624.47437,44.804493,609.52893,561.1252,589.9672,862.63135,504.35336,0.0,0.0,Delayed Support
29,882.4747,920.33655,767.33057,643.1595,1501.2975,624.9792,44.29308,609.3814,568.9704,588.8326,599.00635,579.6887,884.10156,504.72318,Delayed Support
