frame_id,ball_x,ball_y,p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,p4_x,p4_y,p5_x,p5_y,p6_x,p6_y,target_label
1,0.0,0.0,1006.55023,517.19714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Spacing Breakdown
2,0.0,0.0,1005.5342,519.3483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Spacing Breakdown
3,0.0,0.0,1003.4349,518.3144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Spacing Breakdown
4,0.0,0.0,999.1576,517.30414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Spacing Breakdown
5,0.0,0.0,994.7678,517.2824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Spacing Breakdown
6,0.0,0.0,991.84106,517.66833,866.26306,481.96362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Spacing Breakdown
7,0.0,0.0,990.14166,518.0353,863.9096,482.65778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Spacing Breakdown
8,0.0,0.0,988.79193,518.4746,861.0815,482.44507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Spacing Breakdown
9,0.0,0.0,988.1273,517.908,862.09674,483.02155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Spacing Breakdown
10,0.0,0.0,987.0294,517.9554,860.923,482.4026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Spacing Breakdown
11,0.0,0.0,986.74084,517.81555,855.08124,483.38266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Spacing Breakdown
12,0.0,0.0,986.426,517.3449,853.318,483.68518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Spacing Breakdown
13,0.0,0.0,986.30963,517.07556,863.0952,483.82712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Spacing Breakdown
14,0.0,0.0,985.39734,515.27655,864.7373,484.30756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Spacing Breakdown
15,0.0,0.0,985.3392,515.16986,865.7786,484.10257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Spacing Breakdown
16,0.0,0.0,985.0346,515.23956,863.2689,480.45407,433.33945,492.73993,0.0,0.0,0.0,0.0,0.0,0.0,Spacing Breakdown
17,0.0,0.0,986.219,515.8983,864.0206,484.76996,434.00497,495.02768,0.0,0.0,0.0,0.0,0.0,0.0,Spacing Breakdown
18,0.0,0.0,985.90845,515.83325,861.5767,484.98077,432.58478,497.36807,0.0,0.0,0.0,0.0,0.0,0.0,Spacing Breakdown
19,0.0,0.0,986.41864,515.54645,860.4545,485.22174,439.73492,496.55865,0.0,0.0,0.0,0.0,0.0,0.0,Spacing Breakdown
20,0.0,0.0,986.9951,515.9026,862.1904,485.39706,452.9891,489.01773,0.0,0.0,0.0,0.0,0.0,0.0,Spacing Breakdown
21,0.0,0.0,987.4483,517.04785,865.03375,485.6091,454.58707,485.12814,0.0,0.0,0.0,0.0,0.0,0.0,Spacing Breakdown
22,0.0,0.0,987.36945,516.7849,866.5712,484.70477,456.52478,481.34247,0.0,0.0,0.0,0.0,0.0,0.0,Spacing Breakdown
23,0.0,0.0,985.3495,514.5325,870.58936,484.69968,457.64627,486.63,0.0,0.0,0.0,0.0,0.0,0.0,Spacing Breakdown
24,0.0,0.0,984.29315,514.2476,869.10626,485.21707,460.99243,485.4998,0.0,0.0,0.0,0.0,0.0,0.0,Spacing Breakdown
25,0.0,0.0,981.5361,514.0912,869.5725,484.11694,465.9093,501.45935,0.0,0.0,0.0,0.0,0.0,0.0,Spacing Breakdown
26,0.0,0.0,980.318,513.1201,872.87933,483.88977,469.5582,499.60873,0.0,0.0,0.0,0.0,0.0,0.0,Spacing Breakdown
27,0.0,0.0,977.6435,511.9645,875.0028,484.30658,475.15344,506.1756,0.0,0.0,0.0,0.0,0.0,0.0,Spacing Breakdown
28,0.0,0.0,976.2332,511.62744,878.26996,483.7841,478.773,508.2921,0.0,0.0,0.0,0.0,0.0,0.0,Spacing Breakdown
29,0.0,0.0,973.55145,511.45074,883.7897,482.50015,480.16434,507.41763,0.0,0.0,0.0,0.0,0.0,0.0,Spacing Breakdown
